MANCODIGO,SITP_Count
003103014,43
003103015,43
003103016,41
003103017,43
003103018,43
003103019,45
003103020,44
003103021,41
003106026,49
003106027,49
003106028,50
003106031,44
003106032,52
003106033,47
003103025,34
003103026,36
003103027,33
003103028,38
003103029,36
003103030,35
003103031,39
003103032,40
003103033,39
003103035,46
003103036,34
003103037,28
003106035,43
003106036,48
003106037,51
003106038,47
003106039,43
003110001,43
003110002,40
003110003,32
003110004,46
003110005,42
003110006,46
003110007,42
003110008,33
003110009,43
003110010,43
003110011,43
003110012,36
003110013,38
003110014,43
003110015,47
003110016,45
003110017,39
003110018,44
003110019,46
003110020,46
003110021,46
003110022,38
003110023,48
003110024,50
003110025,50
003110026,47
003110027,44
008529050,28
003110029,51
003110030,46
003110032,45
003110033,40
003110034,44
008505024,64
003103022,38
003103024,34
003106005,42
003106006,47
003106007,30
003106009,39
003106010,42
003106012,31
003106013,37
003106014,43
003106016,48
003106019,53
003106020,34
003106021,45
003106022,47
003106023,52
003106024,59
003106025,41
003103002,45
003103003,45
003103004,45
003203009,65
003203010,62
003203011,69
003203013,63
003203014,63
003203015,69
003203017,65
003203018,67
003203020,65
003203021,62
003203022,67
003203023,66
008526085,33
002514070,268
003203024,65
003203025,61
003103005,49
003103007,48
003103008,46
003103009,42
003103010,40
003103011,31
003103012,39
003103013,48
003204010,58
003204011,62
003204012,58
003204013,60
003204014,52
003204015,61
003204016,65
003204017,55
003204018,55
003204019,60
003204020,60
003204021,50
003204022,53
008514009,36
008504012,42
008505040,67
008401005,29
008417066,43
008523020,46
008404039,57
008504022,24
008520001,71
008407003,45
008417024,33
008540089,52
008540021,53
008540022,52
008544012,11
008540035,50
008535074,55
008536059,39
208203086,51
008418051,52
008507032,54
008408038,1
008514003,35
008514005,38
008514006,43
003203001,52
003203002,53
003203003,53
003203004,47
003203005,59
003203006,55
003203007,61
003103038,43
003103039,45
003103040,46
003103041,47
003103042,43
003103043,46
003103044,45
003103045,44
003103046,44
003103047,34
003103048,37
003103049,43
003104001,42
003104002,42
003104003,43
003104004,41
003104005,41
003104007,35
003104008,37
003104009,37
003104010,42
003104011,37
003104013,37
003104015,43
003104018,33
003104028,33
003105001,42
003105003,46
003105004,56
003105005,52
003105007,45
003105008,51
003105009,54
003105010,43
003105011,41
003105012,43
003105014,53
003105039,57
003106001,30
003106002,31
003106003,36
003106004,43
008501008,48
008518018,40
008529044,24
008408013,25
008515044,44
008415009,47
008520004,66
008520019,68
008505058,67
008507035,54
008526056,37
008514001,45
008538010,22
008418010,23
008537058,45
008537032,44
008417039,53
003203029,58
003203032,56
003203034,57
003203035,58
003203040,55
003203041,59
002636012,19
008515040,39
003203042,52
003203043,55
003203044,62
003203050,60
003204003,56
003204004,53
003204005,55
003204006,57
003204007,58
008515039,38
008213031,91
208203055,48
208203071,44
008539004,13
008425003,53
008408052,41
008505084,77
008515023,43
008529047,23
008506072,67
008416008,65
008506080,60
008506081,61
008506082,63
008408040,1
008515042,43
008515043,43
008515045,44
008515051,38
008526078,39
008535006,66
008515052,42
008515057,40
008537070,48
008537005,48
008530025,43
008418011,25
008412066,42
008537003,70
008506079,63
008515053,35
008515056,38
008515020,45
008515022,46
008515031,42
008401027,46
008514010,36
008514015,43
008515033,41
008515034,45
008515035,44
008515036,44
008515025,46
008514012,37
008506040,59
008517011,43
008521027,80
008503002,43
008507051,64
008526036,45
008504050,55
008519059,35
008512014,35
008521042,71
008516029,41
008516019,50
008502002,51
008403013,42
008505069,66
008512013,43
008521032,87
008535033,76
008513026,42
008418032,46
008416056,61
208127004,1
008505081,50
008415059,33
008505006,64
008528021,37
008528041,37
008529001,48
008408051,31
008517006,51
008412038,51
008510019,48
008513012,33
008535013,60
208128002,4
008530047,43
008413024,52
008538008,21
008505033,67
001334007,27
001357094,69
008506074,65
009255010,23
009255064,39
009255015,24
009255011,26
008522009,59
008418013,26
008530040,40
008514034,34
008505026,68
008418007,23
008543013,53
008529005,48
008526037,45
008519031,37
008530024,44
008415068,36
008408005,40
008519026,46
008532002,36
008502038,36
008416049,53
008528007,33
008502019,43
008418034,43
008411005,62
008538004,26
008506038,63
008417090,57
008513033,49
008507001,58
008538005,33
008515054,44
008515068,46
002635010,23
002627072,67
002559012,56
008518023,36
008518006,42
008537095,46
008537059,47
008537093,59
008537024,61
008537011,58
008408014,19
008518027,35
008518028,35
008501043,32
008537025,47
008537033,40
008537062,44
008530089,37
008404024,60
008515016,43
208127006,1
008413030,53
008537061,50
008537063,44
008401014,41
008537096,46
008537012,59
008521040,61
008507026,58
008517010,52
008537004,70
008537067,53
008537087,64
008537013,66
008537021,60
008537031,55
008537034,38
008418053,55
008537020,54
008501053,47
008416013,58
008528030,19
008505056,70
208127007,12
008418060,26
008418062,32
008417079,48
008417032,51
008515059,43
004101034,41
008515047,46
008404012,58
008515061,42
008515062,39
008540037,53
008505017,72
008530091,48
008515046,45
008515058,45
008518043,42
008530011,40
208127002,12
008518014,36
008518015,36
008518026,37
008408050,25
008418014,27
008418023,37
008530018,39
008506039,60
008535087,68
008533027,61
008538086,25
008516021,40
008417062,49
008530033,36
008515014,46
008505031,67
008418057,59
008540013,55
208101015,26
008527033,40
008507058,55
008412030,47
008520018,68
008412048,61
008412005,34
008515055,45
008518012,31
008509002,53
008411027,63
008511001,50
008413005,52
008413008,49
008507013,65
008518038,38
008415069,40
008403025,47
008404007,58
008404009,60
008405020,51
008530030,42
008528003,35
008528010,30
208127001,13
008402007,120
008413009,53
008413011,58
008412012,40
008412051,60
008402006,29
008418061,24
008407011,47
008528044,36
008418054,53
008521041,80
008417023,34
008518024,38
008518025,33
008518029,34
008415032,69
008537065,47
008537068,46
008537092,47
008518030,32
008537060,47
008402004,44
008543017,36
008519036,43
008517013,48
008521002,65
008537022,59
008537007,67
008537069,44
008412035,50
008412040,29
008412041,50
008414044,50
008407025,48
008514013,34
008403005,27
008417015,28
008414017,63
008414016,60
008405001,49
008405008,48
008404013,61
008537064,45
008537089,41
008506070,67
008506013,71
008506062,66
008544016,36
008537097,42
008522004,67
008530016,42
008537084,46
008537030,62
008532001,36
008515026,45
008417052,51
008404002,55
008505025,66
008525004,29
008414032,53
008408026,17
008537018,50
008537076,69
008537008,65
008537026,62
008404015,60
008405015,50
008405016,53
008412017,42
008518037,40
008404011,59
008540012,53
008404016,56
008404017,57
008404018,57
008404020,60
008404021,57
008404023,57
008412052,48
008412050,58
008401008,36
008417065,51
008530008,39
008411013,58
008411014,60
008411017,57
008411018,59
008508018,42
008412006,32
008403010,29
008403007,25
008403008,26
008412055,27
008412056,26
008412060,34
008412062,43
008411022,59
008411026,59
008416024,63
008530013,39
008418045,45
008524027,41
008401054,29
008513035,53
008414003,69
008502062,42
008408007,40
008401055,38
008417047,51
008501029,47
008414001,67
008501011,40
008501016,45
008502029,44
008415021,52
008415017,44
008413021,52
008417020,44
008501031,46
008530014,43
008525018,33
008525019,30
