MANCODIGO,SITP_Count,SITP_Score,PARQUES_Count,PARQUES_Score
003103014,43,2,15,1
003103015,43,2,15,1
003103016,41,2,14,1
003103017,43,2,15,1
003103018,43,2,15,1
003103019,45,2,15,1
003103020,44,2,13,1
003103021,41,2,13,1
003106026,49,2,15,1
003106027,49,2,16,1
003106028,50,2,14,1
003106031,44,2,17,1
003106032,52,2,18,1
003106033,47,2,14,1
003103025,34,1,16,1
003103026,36,1,17,1
003103027,33,1,15,1
003103028,38,1,16,1
003103029,36,1,16,1
003103030,35,1,13,1
003103031,39,1,15,1
003103032,40,1,16,1
003103033,39,1,16,1
003103035,46,2,17,1
003103036,34,1,13,1
003103037,28,1,13,1
003106035,43,2,21,1
003106036,48,2,23,1
003106037,51,2,22,1
003106038,47,2,16,1
003106039,43,2,8,1
003110001,43,2,6,1
003110002,40,1,6,1
003110003,32,1,8,1
003110004,46,2,7,1
003110005,42,2,5,1
003110006,46,2,6,1
003110007,42,2,7,1
003110008,33,1,8,1
003110009,43,2,7,1
003110010,43,2,7,1
003110011,43,2,9,1
003110012,36,1,10,1
003110013,38,1,10,1
003110014,43,2,7,1
003110015,47,2,8,1
003110016,45,2,12,1
003110017,39,1,11,1
003110018,44,2,9,1
003110019,46,2,10,1
003110020,46,2,11,1
003110021,46,2,12,1
003110022,38,1,14,1
003110023,48,2,11,1
003110024,50,2,12,1
003110025,50,2,12,1
003110026,47,2,12,1
003110027,44,2,14,1
008529050,28,1,40,2
003110029,51,2,12,1
003110030,46,2,12,1
003110032,45,2,18,1
003110033,40,1,9,1
003110034,44,2,9,1
008505024,64,3,56,3
003103022,38,1,13,1
003103024,34,1,16,1
003106005,42,2,7,1
003106006,47,2,8,1
003106007,30,1,8,1
003106009,39,1,8,1
003106010,42,2,8,1
003106012,31,1,9,1
003106013,37,1,10,1
003106014,43,2,9,1
003106016,48,2,10,1
003106019,53,2,13,1
003106020,34,1,13,1
003106021,45,2,14,1
003106022,47,2,12,1
003106023,52,2,11,1
003106024,59,3,15,1
003106025,41,2,15,1
003103002,45,2,17,1
003103003,45,2,18,1
003103004,45,2,17,1
003203009,65,3,20,1
003203010,62,3,20,1
003203011,69,3,23,1
003203013,63,3,26,1
003203014,63,3,21,1
003203015,69,3,27,1
003203017,65,3,29,1
003203018,67,3,26,1
003203020,65,3,29,1
003203021,62,3,28,1
003203022,67,3,33,2
003203023,66,3,39,2
008526085,33,1,64,3
002514070,268,5,188,5
002514070,268,5,188,5
002514070,268,5,188,5
002514070,268,5,188,5
002514070,268,5,188,5
002514070,268,5,188,5
002514070,268,5,188,5
002514070,268,5,188,5
002514070,268,5,188,5
002514070,268,5,188,5
002514070,268,5,188,5
002514070,268,5,188,5
002514070,268,5,188,5
002514070,268,5,188,5
002514070,268,5,188,5
002514070,268,5,188,5
002514070,268,5,188,5
002514070,268,5,188,5
002514070,268,5,188,5
002514070,268,5,188,5
002514070,268,5,188,5
002514070,268,5,188,5
002514070,268,5,188,5
002514070,268,5,188,5
002514070,268,5,188,5
002514070,268,5,188,5
